,R,horse_id,オッズ,タイム,ペース,レース名,上り,人気,備考,勝ち馬(2着馬),厩舎ｺﾒﾝﾄ,天気,斤量,日付,映像,枠番,着差,着順,賞金,距離,通過,開催,頭数,馬体重,馬場,馬場指数,馬番,騎手,ﾀｲﾑ指数,コースタイプ,ペース前半,ペース後半,馬体重増減
1,2,2016103711,188.8,1:14.8,36.1-36.6,201909010602,38.3,13,"


 
",モズカプリッチョ,"

",小雨,56,2019/03/10,"

",3,2.1,6, ,1200,4-4,1阪神6,15,486,稍,"

**

",4,"
長岡禎仁
","

**

",ダ,36.1,36.6,+6
2,1,2016103711,29.4,1:00.8,34.6-35.8,201910010701,37.1,8,"



",モズベイビー,"

",晴,55,2019/03/02,"

",8,2.0,10, ,1000,8-10,1小倉7,14,480,稍,"

**

",13,"
川又賢治
","

**

",ダ,34.6,35.8,-20
3,5,2016103711,61.6,1:14.8,34.6-37.8,201806050605,40.1,10,"


 
",ジャパンスウェプト,"

",晴,55,2018/12/16,"

",4,2.4,6, ,1200,2-2,5中山6,15,500,良,"

**

",7,"
長岡禎仁
","

**

",ダ,34.6,37.8,0
1,1,2016105232,195.9,1:01.3,34.6-35.8,201910010701,38.0,12,"



",モズベイビー,"

",晴,54,2019/03/02,"

",8,2.5,11, ,1000,3-6,1小倉7,14,422,稍,"

**

",14,"
中井裕二
","

**

",ダ,34.6,35.8,+6
2,6,2016105232,346.0,1:28.4,35.6-36.2,201809050706,39.9,14,"


 
",メイショウウズマサ,"

",曇,54,2018/12/22,"

",2,4.0,15, ,1400,4-7,5阪神7,16,416,稍,"

**

",3,"
中井裕二
","

**

",ダ,35.6,36.2,0
1,2,2016109137,339.2,1:16.2,34.1-38.0,201906030402,40.6,14,"


 
",フォークアート,"

",曇,52,2019/03/31,"

",2,4.1,15, ,1200,14-14,3中山4,16,426,稍,"


 
",4,"
菊沢一樹
","


 
",ダ,34.1,38.0,+4
2,1,2016109137,245.6,1:01.9,34.6-35.8,201910010701,37.4,13,"


 
",モズベイビー,"

",晴,54,2019/03/02,"

",1,3.1,12, ,1000,11-11,1小倉7,14,422,稍,"

**

",1,"
井上敏樹
","

**

",ダ,34.6,35.8,-4
3,2,2016109137,574.9,2:03.0,37.9-39.5,201906010702,43.7,16,"


 
",グッバイガール,"

",晴,54,2019/01/20,"

",1,5.4,16, ,1800,14-14-14-15,1中山7,16,426,良,"

**

",1,"
西田雄一
","

**

",ダ,37.9,39.5,-1
4,9,2016109137,39.2,1:34.4, ,201855121109,40.7,7,"


 
",カシノウィング,"

 
",雨,54,2018/12/11,"

 
",8,2.3,8, ,1400,8-8-8-8,佐賀,9,427,不,"

**

",8,"
鮫島克也
","

**

",ダ, ,,0
1,2,2016105953,323.8, ,35.6-38.3,201907020102, ,15,"


 
",メイショウフクイク,"

",晴,56,2019/03/09,"

",4, ,中, ,1200,13-15,2中京1,15,474,稍,"

**

",6,"
井上敏樹
","

**

",ダ,35.6,38.3,0
2,1,2016105953,246.5,1:02.0,34.6-35.8,201910010701,37.6,14,"



",モズベイビー,"

",晴,56,2019/03/02,"

",5,3.2,13, ,1000,11-11,1小倉7,14,474,稍,"

**

",7,"
西田雄一
","

**

",ダ,34.6,35.8,+12
3,5,2016105953,153.3,1:17.2,33.6-36.0,201810020705,39.9,12,"



",アズマヘリテージ,"

",晴,51,2018/08/18,"

",1,7.6,14, ,1200,13-14,2小倉7,14,462,良,"

**

",1,"
西村淳也
","

**

",芝,33.6,36.0,0
1,1,2016102435,123.1,1:03.5,34.6-35.8,201910010701,38.7,10,"


 
",モズベイビー,"

",晴,54,2019/03/02,"

",6,4.7,14, ,1000,13-14,1小倉7,14,476,稍,"

**

",9,"
義英真
","

**

",ダ,34.6,35.8,0
